run,cenario,N,tempo_ms,gflops,gpu_temp_c,timestamp,observacao
1,rtx5060ti_cublas_fp32,256,0.055904,600.2152,39,2026-05-09T12:05:34.324124,ok
2,rtx5060ti_cublas_fp32,256,0.043840,765.3840,39,2026-05-09T12:05:34.324218,ok
3,rtx5060ti_cublas_fp32,256,0.045984,729.6980,39,2026-05-09T12:05:34.324299,ok
4,rtx5060ti_cublas_fp32,256,0.039520,849.0494,39,2026-05-09T12:05:34.324366,ok
5,rtx5060ti_cublas_fp32,256,0.040416,830.2265,39,2026-05-09T12:05:34.324432,ok
6,rtx5060ti_cublas_fp32,256,0.009664,3472.1060,39,2026-05-09T12:05:34.343403,ok
7,rtx5060ti_cublas_fp32,256,0.041600,806.5969,39,2026-05-09T12:05:34.343477,ok
8,rtx5060ti_cublas_fp32,256,0.039008,860.1936,39,2026-05-09T12:05:34.343542,ok
9,rtx5060ti_cublas_fp32,256,0.039296,853.8892,39,2026-05-09T12:05:34.343606,ok
10,rtx5060ti_cublas_fp32,256,0.037504,894.6895,39,2026-05-09T12:05:34.343668,ok
11,rtx5060ti_cublas_fp32,256,0.012480,2688.6564,39,2026-05-09T12:05:34.363035,ok
12,rtx5060ti_cublas_fp32,256,0.043104,778.4529,39,2026-05-09T12:05:34.363114,ok
13,rtx5060ti_cublas_fp32,256,0.050688,661.9798,39,2026-05-09T12:05:34.363193,ok
14,rtx5060ti_cublas_fp32,256,0.040096,836.8524,39,2026-05-09T12:05:34.363261,ok
15,rtx5060ti_cublas_fp32,256,0.038848,863.7364,39,2026-05-09T12:05:34.363326,ok
16,rtx5060ti_cublas_fp32,256,0.011008,3048.1860,39,2026-05-09T12:05:34.382261,ok
17,rtx5060ti_cublas_fp32,256,0.039712,844.9444,39,2026-05-09T12:05:34.382332,ok
18,rtx5060ti_cublas_fp32,256,0.039008,860.1936,39,2026-05-09T12:05:34.382395,ok
19,rtx5060ti_cublas_fp32,256,0.035712,939.5842,39,2026-05-09T12:05:34.382454,ok
20,rtx5060ti_cublas_fp32,256,0.036608,916.5874,39,2026-05-09T12:05:34.382512,ok
21,rtx5060ti_cublas_fp32,256,0.010848,3093.1446,39,2026-05-09T12:05:34.401386,ok
22,rtx5060ti_cublas_fp32,256,0.041792,802.8912,39,2026-05-09T12:05:34.401459,ok
23,rtx5060ti_cublas_fp32,256,0.037728,889.3774,39,2026-05-09T12:05:34.401522,ok
24,rtx5060ti_cublas_fp32,256,0.036736,913.3937,39,2026-05-09T12:05:34.401587,ok
25,rtx5060ti_cublas_fp32,256,0.036928,908.6447,39,2026-05-09T12:05:34.401652,ok
26,rtx5060ti_cublas_fp32,256,0.011008,3048.1860,39,2026-05-09T12:05:34.419980,ok
27,rtx5060ti_cublas_fp32,256,0.038560,870.1876,39,2026-05-09T12:05:34.420049,ok
28,rtx5060ti_cublas_fp32,256,0.038368,874.5421,39,2026-05-09T12:05:34.420112,ok
29,rtx5060ti_cublas_fp32,256,0.091648,366.1229,39,2026-05-09T12:05:34.420230,ok
30,rtx5060ti_cublas_fp32,256,0.042240,794.3757,39,2026-05-09T12:05:34.420301,ok
1,rtx5060ti_cublas_fp32,512,0.076672,3501.0884,40,2026-05-09T12:05:34.478329,ok
2,rtx5060ti_cublas_fp32,512,0.061248,4382.7627,40,2026-05-09T12:05:34.478428,ok
3,rtx5060ti_cublas_fp32,512,0.058336,4601.5402,40,2026-05-09T12:05:34.478513,ok
4,rtx5060ti_cublas_fp32,512,0.058176,4614.1958,40,2026-05-09T12:05:34.478597,ok
5,rtx5060ti_cublas_fp32,512,0.056832,4723.3153,40,2026-05-09T12:05:34.478679,ok
6,rtx5060ti_cublas_fp32,512,0.027872,9631.0081,40,2026-05-09T12:05:34.497562,ok
